species,Class,group,adult mass (g),log adult mass (g),hatchling / neonate mass (g),log hatchling / neonate mass (g),offspring/adult size ratio
Boa_constrictor,Reptilia,Serpentes,3467.4,3.540,56.2,1.750,1.6%
Sinonatrix_annularis,Reptilia,Serpentes,112.2,2.050,1.8,0.260,1.6%
Bothrops_alternatus,Reptilia,Serpentes,1148.2,3.060,19.1,1.280,1.7%
Thamnophis_cyrtopsis,Reptilia,Serpentes,104.7,2.020,1.7,0.240,1.7%
Regina_grahamii,Reptilia,Serpentes,117.5,2.070,1.9,0.290,1.7%
Nerodia_fasciata,Reptilia,Serpentes,114.8,2.060,1.9,0.290,1.7%
Nerodia_taxispilota,Reptilia,Serpentes,229.1,2.360,3.9,0.590,1.7%
Liodytes_pygaea,Reptilia,Serpentes,26.3,1.420,0.4,-0.350,1.7%
Thamnophis_butleri,Reptilia,Serpentes,35.5,1.550,0.6,-0.220,1.7%
Philodryas_patagoniensis,Reptilia,Serpentes,239.9,2.380,4.1,0.610,1.7%
Oxyuranus_scutellatus,Reptilia,Serpentes,912.0,2.960,15.5,1.190,1.7%
Bitia_hydroides,Reptilia,Serpentes,117.5,2.070,2.0,0.300,1.7%
Farancia_erytrogramma,Reptilia,Serpentes,245.5,2.390,4.3,0.630,1.7%
Eunectes_deschauenseei,Reptilia,Serpentes,3467.4,3.540,60.3,1.780,1.7%
Stenorrhina_freminvillei,Reptilia,Serpentes,55.0,1.740,1.0,-0.020,1.7%
Clelia_clelia,Reptilia,Serpentes,955.0,2.980,16.6,1.220,1.7%
Pseudonaja_affinis,Reptilia,Serpentes,416.9,2.620,7.4,0.870,1.8%
Acanthophis_antarcticus,Reptilia,Serpentes,91.2,1.960,1.6,0.210,1.8%
Storeria_occipitomaculata,Reptilia,Serpentes,4.1,0.610,0.1,-1.130,1.8%
Bothrocophias_hyoprora,Reptilia,Serpentes,195.0,2.290,3.5,0.550,1.8%
Nerodia_floridana,Reptilia,Serpentes,151.4,2.180,2.8,0.450,1.9%
Homalopsis_buccata,Reptilia,Serpentes,275.4,2.440,5.1,0.710,1.9%
Bothrops_asper,Reptilia,Serpentes,1000.0,3.000,18.6,1.270,1.9%
Anilios_wiedii,Reptilia,Serpentes,4.7,0.670,0.1,-1.050,1.9%
Austrelaps_ramsayi,Reptilia,Serpentes,117.5,2.070,2.2,0.350,1.9%
Bothrops_atrox,Reptilia,Serpentes,758.6,2.880,14.5,1.160,1.9%
Oxyrhopus_petolarius,Reptilia,Serpentes,245.5,2.390,4.8,0.680,1.9%
Tropidoclonion_lineatum,Reptilia,Serpentes,10.2,1.010,0.2,-0.700,1.9%
Coronella_austriaca,Reptilia,Serpentes,47.9,1.680,1.0,-0.020,2.0%
Thamnophis_eques,Reptilia,Serpentes,102.3,2.010,2.0,0.310,2.0%
Morelia_spilota,Reptilia,Serpentes,1621.8,3.210,32.4,1.510,2.0%
Pseudechis_guttatus,Reptilia,Serpentes,354.8,2.550,7.2,0.860,2.0%
Crotalus_enyo,Reptilia,Serpentes,323.6,2.510,6.6,0.820,2.0%
Chironius_exoletus,Reptilia,Serpentes,288.4,2.460,6.0,0.780,2.1%
Pseudechis_porphyriacus,Reptilia,Serpentes,331.1,2.520,7.1,0.850,2.1%
Liasis_olivaceus,Reptilia,Serpentes,3467.4,3.540,75.9,1.880,2.2%
Crotalus_ruber,Reptilia,Serpentes,794.3,2.900,17.4,1.240,2.2%
Thamnophis_saurita,Reptilia,Serpentes,53.7,1.730,1.2,0.070,2.2%
Aspidites_melanocephalus,Reptilia,Serpentes,1905.5,3.280,41.7,1.620,2.2%
Trimorphodon_biscutatus,Reptilia,Serpentes,123.0,2.090,2.8,0.440,2.2%
Regina_septemvittata,Reptilia,Serpentes,67.6,1.830,1.5,0.180,2.2%
Crotalus_triseriatus,Reptilia,Serpentes,128.8,2.110,2.9,0.460,2.2%
Crotalus_molossus,Reptilia,Serpentes,524.8,2.720,11.7,1.070,2.2%
Helicops_infrataeniatus,Reptilia,Serpentes,75.9,1.880,1.7,0.230,2.2%
Masticophis_schotti,Reptilia,Serpentes,478.6,2.680,11.0,1.040,2.3%
Clonophis_kirtlandii,Reptilia,Serpentes,20.0,1.300,0.5,-0.340,2.3%
Oxyuranus_microlepidotus,Reptilia,Serpentes,891.3,2.950,20.9,1.320,2.3%
Bogertophis_rosaliae,Reptilia,Serpentes,288.4,2.460,6.8,0.830,2.3%
Thamnophis_atratus,Reptilia,Serpentes,67.6,1.830,1.6,0.200,2.3%
Virginia_valeriae,Reptilia,Serpentes,5.4,0.730,0.1,-0.890,2.4%
Crotalus_cerastes,Reptilia,Serpentes,151.4,2.180,3.6,0.560,2.4%
Oxyrhopus_guibei,Reptilia,Serpentes,186.2,2.270,4.5,0.650,2.4%
Cerrophidion_godmani,Reptilia,Serpentes,87.1,1.940,2.1,0.320,2.4%
Chilabothrus_inornatus,Reptilia,Serpentes,1548.8,3.190,37.2,1.570,2.4%
Coluber_constrictor,Reptilia,Serpentes,134.9,2.130,3.2,0.510,2.4%
Lampropeltis_calligaster,Reptilia,Serpentes,117.5,2.070,2.9,0.460,2.5%
Acanthophis_praelongus,Reptilia,Serpentes,104.7,2.020,2.6,0.420,2.5%
Pituophis_catenifer,Reptilia,Serpentes,389.0,2.590,9.8,0.990,2.5%
Crotalus_mitchellii,Reptilia,Serpentes,398.1,2.600,10.2,1.010,2.6%
Tropidechis_carinatus,Reptilia,Serpentes,120.2,2.080,3.1,0.490,2.6%
Pantherophis_obsoletus,Reptilia,Serpentes,338.8,2.530,8.7,0.940,2.6%
Pseudonaja_nuchalis,Reptilia,Serpentes,223.9,2.350,5.9,0.770,2.6%
Pseudechis_australis,Reptilia,Serpentes,363.1,2.560,9.5,0.980,2.6%
Lampropeltis_getula,Reptilia,Serpentes,162.2,2.210,4.3,0.630,2.6%
Austrelaps_superbus,Reptilia,Serpentes,141.3,2.150,3.7,0.570,2.6%
Aspidites_ramsayi,Reptilia,Serpentes,2089.3,3.320,55.0,1.740,2.6%
Crotalus_horridus,Reptilia,Serpentes,758.6,2.880,20.0,1.300,2.6%
Crotalus_scutulatus,Reptilia,Serpentes,346.7,2.540,9.3,0.970,2.7%
Morelia_viridis,Reptilia,Serpentes,1047.1,3.020,28.2,1.450,2.7%
Leptophis_ahaetulla,Reptilia,Serpentes,114.8,2.060,3.2,0.500,2.8%
Agkistrodon_taylori,Reptilia,Serpentes,302.0,2.480,8.3,0.920,2.8%
Thamnophis_marcianus,Reptilia,Serpentes,46.8,1.670,1.3,0.110,2.8%
Xenodon_severus,Reptilia,Serpentes,218.8,2.340,6.0,0.780,2.8%
Tropidonophis_mairii,Reptilia,Serpentes,70.8,1.850,2.0,0.300,2.8%
Stenorrhina_degenhardtii,Reptilia,Serpentes,35.5,1.550,1.0,0.000,2.8%
Mastigodryas_bifossatus,Reptilia,Serpentes,331.1,2.520,9.5,0.980,2.9%
Leptophis_depressirostris,Reptilia,Serpentes,61.7,1.790,1.8,0.250,2.9%
Crotalus_pricei,Reptilia,Serpentes,91.2,1.960,2.6,0.420,2.9%
Haldea_striatula,Reptilia,Serpentes,3.9,0.590,0.1,-0.940,3.0%
Sistrurus_catenatus,Reptilia,Serpentes,195.0,2.290,5.8,0.760,3.0%
Pantherophis_guttatus,Reptilia,Serpentes,177.8,2.250,5.4,0.730,3.0%
Conophis_lineatus,Reptilia,Serpentes,34.7,1.540,1.0,0.020,3.0%
Cerastes_vipera,Reptilia,Serpentes,26.9,1.430,0.8,-0.090,3.0%
Erythrolamprus_poecilogyrus,Reptilia,Serpentes,83.2,1.920,2.5,0.400,3.0%
Epicrates_cenchria,Reptilia,Serpentes,1380.4,3.140,42.7,1.630,3.1%
Pantherophis_emoryi,Reptilia,Serpentes,275.4,2.440,8.5,0.930,3.1%
Pseudechis_colletti,Reptilia,Serpentes,602.6,2.780,18.6,1.270,3.1%
Cryptophis_pallidiceps,Reptilia,Serpentes,39.8,1.600,1.3,0.100,3.2%
Sistrurus_miliarius,Reptilia,Serpentes,72.4,1.860,2.3,0.360,3.2%
Drymarchon_couperi,Reptilia,Serpentes,676.1,2.830,21.4,1.330,3.2%
Crotalus_durissus,Reptilia,Serpentes,316.2,2.500,10.5,1.020,3.3%
Nerodia_paucimaculata,Reptilia,Serpentes,87.1,1.940,2.9,0.460,3.3%
Masticophis_flagellum,Reptilia,Serpentes,112.2,2.050,3.7,0.570,3.3%
Lampropeltis_alterna,Reptilia,Serpentes,109.6,2.040,3.7,0.570,3.4%
Agkistrodon_contortrix,Reptilia,Serpentes,154.9,2.190,5.2,0.720,3.4%
Morelia_carinata,Reptilia,Serpentes,1819.7,3.260,61.7,1.790,3.4%
Epicrates_crassus,Reptilia,Serpentes,588.8,2.770,20.4,1.310,3.5%
Agkistrodon_bilineatus,Reptilia,Serpentes,239.9,2.380,8.3,0.920,3.5%
Thamnophis_elegans,Reptilia,Serpentes,51.3,1.710,1.8,0.250,3.5%
Micrurus_fulvius,Reptilia,Serpentes,131.8,2.120,4.7,0.670,3.5%
Dendrophidion_vinitor,Reptilia,Serpentes,79.4,1.900,2.8,0.450,3.5%
Elapognathus_minor,Reptilia,Serpentes,21.4,1.330,0.8,-0.110,3.6%
Stegonotus_cucullatus,Reptilia,Serpentes,151.4,2.180,5.5,0.740,3.6%
Echis_coloratus,Reptilia,Serpentes,177.8,2.250,6.5,0.810,3.6%
Pseudechis_butleri,Reptilia,Serpentes,269.2,2.430,9.8,0.990,3.6%
Antaresia_stimsoni,Reptilia,Serpentes,389.0,2.590,14.1,1.150,3.6%
Crotalus_tigris,Reptilia,Serpentes,190.5,2.280,7.1,0.850,3.7%
Elaphe_climacophora,Reptilia,Serpentes,537.0,2.730,20.4,1.310,3.8%
Liasis_fuscus,Reptilia,Serpentes,1737.8,3.240,67.6,1.830,3.9%
Lampropeltis_triangulum,Reptilia,Serpentes,49.0,1.690,1.9,0.280,3.9%
Crotalus_aquilus,Reptilia,Serpentes,77.6,1.890,3.1,0.490,4.0%
Mastigodryas_melanolomus,Reptilia,Serpentes,95.5,1.980,3.8,0.580,4.0%
Erythrolamprus_aesculapii,Reptilia,Serpentes,144.5,2.160,5.8,0.760,4.0%
Tantilla_nigriceps,Reptilia,Serpentes,4.8,0.680,0.2,-0.720,4.0%
Phrynonax_poecilonotus,Reptilia,Serpentes,295.1,2.470,12.0,1.080,4.1%
Phrynonax_poecilonotus,Reptilia,Serpentes,295.1,2.470,12.0,1.080,4.1%
Corallus_caninus,Reptilia,Serpentes,1096.5,3.040,44.7,1.650,4.1%
Tomodon_dorsatus,Reptilia,Serpentes,55.0,1.740,2.2,0.350,4.1%
Crotalus_atrox,Reptilia,Serpentes,457.1,2.660,19.1,1.280,4.2%
Lycodon_aulicus,Reptilia,Serpentes,28.8,1.460,1.2,0.080,4.2%
Pseudonaja_modesta,Reptilia,Serpentes,27.5,1.440,1.1,0.060,4.2%
Trimorphodon_vilkinsonii,Reptilia,Serpentes,57.5,1.760,2.4,0.380,4.2%
Hoplocephalus_stephensii,Reptilia,Serpentes,131.8,2.120,5.6,0.750,4.3%
Micrurus_corallinus,Reptilia,Serpentes,107.2,2.030,4.6,0.660,4.3%
Spilotes_pullatus,Reptilia,Serpentes,407.4,2.610,17.4,1.240,4.3%
Siphlophis_compressus,Reptilia,Serpentes,169.8,2.230,7.2,0.860,4.3%
Corallus_annulatus,Reptilia,Serpentes,1096.5,3.040,47.9,1.680,4.4%
Pseudonaja_guttata,Reptilia,Serpentes,131.8,2.120,5.8,0.760,4.4%
Dipsadoboa_aulica,Reptilia,Serpentes,34.7,1.540,1.5,0.180,4.4%
Hemorrhois_hippocrepis,Reptilia,Serpentes,95.5,1.980,4.2,0.620,4.4%
Xenodon_neuwiedii,Reptilia,Serpentes,85.1,1.930,3.8,0.580,4.5%
Dendrelaphis_punctulatus,Reptilia,Serpentes,125.9,2.100,5.6,0.750,4.5%
Antaresia_maculosa,Reptilia,Serpentes,338.8,2.530,15.1,1.180,4.5%
Tropidodryas_striaticeps,Reptilia,Serpentes,177.8,2.250,8.1,0.910,4.6%
Pseudelaphe_flavirufa,Reptilia,Serpentes,407.4,2.610,18.6,1.270,4.6%
Cacophis_squamulosus,Reptilia,Serpentes,53.7,1.730,2.5,0.400,4.7%
Corallus_hortulanus,Reptilia,Serpentes,1122.0,3.050,52.5,1.720,4.7%
Erythrolamprus_typhlus,Reptilia,Serpentes,95.5,1.980,4.6,0.660,4.8%
Pituophis_melanoleucus,Reptilia,Serpentes,338.8,2.530,16.2,1.210,4.8%
Pseudonaja_inframacula,Reptilia,Serpentes,186.2,2.270,9.1,0.960,4.9%
Drepanoides_anomalus,Reptilia,Serpentes,53.7,1.730,2.6,0.420,4.9%
Heterodon_nasicus,Reptilia,Serpentes,50.1,1.700,2.5,0.390,4.9%
Thamnophis_rufipunctatus,Reptilia,Serpentes,74.1,1.870,3.7,0.570,5.0%
Geophis_brachycephalus,Reptilia,Serpentes,16.6,1.220,0.8,-0.080,5.0%
Spalerosophis_diadema,Reptilia,Serpentes,195.0,2.290,9.8,0.990,5.0%
Atractus_torquatus,Reptilia,Serpentes,66.1,1.820,3.4,0.530,5.1%
Crotalus_lepidus,Reptilia,Serpentes,85.1,1.930,4.4,0.640,5.1%
Gloydius_shedaoensis,Reptilia,Serpentes,218.8,2.340,11.2,1.050,5.1%
Suta_fasciata,Reptilia,Serpentes,30.9,1.490,1.6,0.210,5.2%
Crotalus_viridis,Reptilia,Serpentes,186.2,2.270,9.8,0.990,5.2%
Drymarchon_melanurus,Reptilia,Serpentes,467.7,2.670,25.1,1.400,5.4%
Candoia_bibroni,Reptilia,Serpentes,436.5,2.640,24.0,1.380,5.5%
Lygophis_lineatus,Reptilia,Serpentes,38.9,1.590,2.1,0.330,5.5%
Erythrolamprus_jaegeri,Reptilia,Serpentes,20.4,1.310,1.1,0.060,5.6%
Crotalus_ravus,Reptilia,Serpentes,66.1,1.820,3.7,0.570,5.6%
Austrelaps_labialis,Reptilia,Serpentes,39.8,1.600,2.3,0.360,5.8%
Hemiaspis_damelii,Reptilia,Serpentes,40.7,1.610,2.3,0.370,5.8%
Crotalus_polystictus,Reptilia,Serpentes,144.5,2.160,8.5,0.930,5.9%
Micrurus_lemniscatus,Reptilia,Serpentes,186.2,2.270,11.0,1.040,5.9%
Lampropeltis_mexicana,Reptilia,Serpentes,42.7,1.630,2.5,0.400,5.9%
Micrurus_tener,Reptilia,Serpentes,91.2,1.960,5.4,0.730,5.9%
Antaresia_childreni,Reptilia,Serpentes,218.8,2.340,12.9,1.110,5.9%
Denisonia_devisi,Reptilia,Serpentes,21.9,1.340,1.3,0.120,6.0%
Conopsis_nasus,Reptilia,Serpentes,5.6,0.750,0.3,-0.470,6.0%
Lygophis_anomalus,Reptilia,Serpentes,33.9,1.530,2.0,0.310,6.0%
Cemophora_coccinea,Reptilia,Serpentes,14.8,1.170,0.9,-0.050,6.0%
Helicops_leopardinus,Reptilia,Serpentes,24.5,1.390,1.5,0.170,6.0%
Simalia_amethistina,Reptilia,Serpentes,5248.1,3.720,323.6,2.510,6.2%
Drysdalia_coronoides,Reptilia,Serpentes,15.8,1.200,1.0,-0.010,6.2%
Vermicella_annulata,Reptilia,Serpentes,60.3,1.780,3.8,0.580,6.3%
Storeria_dekayi,Reptilia,Serpentes,7.9,0.900,0.5,-0.300,6.3%
Siphlophis_cervinus,Reptilia,Serpentes,104.7,2.020,6.6,0.820,6.3%
Dipsas_mikanii,Reptilia,Serpentes,30.9,1.490,2.0,0.300,6.5%
Rhinocheilus_lecontei,Reptilia,Serpentes,37.2,1.570,2.4,0.380,6.5%
Carphophis_vermis,Reptilia,Serpentes,12.3,1.090,0.8,-0.100,6.5%
Hemiaspis_signata,Reptilia,Serpentes,28.2,1.450,1.8,0.260,6.5%
Crotalus_willardi,Reptilia,Serpentes,85.1,1.930,5.5,0.740,6.5%
Simoselaps_littoralis,Reptilia,Serpentes,6.6,0.820,0.4,-0.370,6.5%
Hoplocephalus_bungaroides,Reptilia,Serpentes,87.1,1.940,5.6,0.750,6.5%
Demansia_psammophis,Reptilia,Serpentes,58.9,1.770,3.9,0.590,6.6%
Acanthophis_pyrrhus,Reptilia,Serpentes,47.9,1.680,3.2,0.500,6.6%
Heterodon_simus,Reptilia,Serpentes,24.0,1.380,1.6,0.200,6.6%
Drysdalia_rhodogaster,Reptilia,Serpentes,16.6,1.220,1.1,0.050,6.8%
Porthidium_nasutum,Reptilia,Serpentes,38.9,1.590,2.6,0.420,6.8%
Bothrops_insularis,Reptilia,Serpentes,275.4,2.440,18.6,1.270,6.8%
Eirenis_punctatolineatus,Reptilia,Serpentes,7.1,0.850,0.5,-0.320,6.8%
Oxybelis_fulgidus,Reptilia,Serpentes,117.5,2.070,7.9,0.900,6.8%
Leptophis_mexicanus,Reptilia,Serpentes,55.0,1.740,3.8,0.580,6.9%
Charina_bottae,Reptilia,Serpentes,75.9,1.880,5.4,0.730,7.1%
Xenodon_dorbignyi,Reptilia,Serpentes,19.1,1.280,1.4,0.140,7.2%
Cerrophidion_sasai,Reptilia,Serpentes,74.1,1.870,5.5,0.740,7.4%
Suta_punctata,Reptilia,Serpentes,21.9,1.340,1.6,0.210,7.4%
Furina_ornata,Reptilia,Serpentes,21.9,1.340,1.7,0.220,7.6%
Boiga_irregularis,Reptilia,Serpentes,123.0,2.090,9.3,0.970,7.6%
Antaresia_perthensis,Reptilia,Serpentes,79.4,1.900,6.2,0.790,7.8%
Denisonia_maculata,Reptilia,Serpentes,20.9,1.320,1.6,0.210,7.8%
Drymobius_margaritiferus,Reptilia,Serpentes,29.5,1.470,2.3,0.370,7.9%
Demansia_vestigiata,Reptilia,Serpentes,141.3,2.150,11.2,1.050,7.9%
Cryptophis_nigrostriatus,Reptilia,Serpentes,25.7,1.410,2.1,0.330,8.3%
Echinanthera_undulata,Reptilia,Serpentes,30.9,1.490,2.6,0.410,8.3%
Drysdalia_mastersii,Reptilia,Serpentes,7.2,0.860,0.6,-0.220,8.3%
Suta_suta,Reptilia,Serpentes,31.6,1.500,2.6,0.420,8.3%
Lampropeltis_zonata,Reptilia,Serpentes,49.0,1.690,4.1,0.610,8.3%
Xenodon_rabdocephalus,Reptilia,Serpentes,51.3,1.710,4.3,0.630,8.3%
Hypsirhynchus_parvifrons,Reptilia,Serpentes,30.2,1.480,2.5,0.400,8.3%
Echiopsis_curta,Reptilia,Serpentes,20.9,1.320,1.8,0.250,8.5%
Sonora_semiannulata,Reptilia,Serpentes,3.7,0.570,0.3,-0.500,8.5%
Elapognathus_coronatus,Reptilia,Serpentes,18.6,1.270,1.6,0.210,8.7%
Parasuta_gouldii,Reptilia,Serpentes,15.8,1.200,1.4,0.150,8.9%
Brachyurophis_australis,Reptilia,Serpentes,9.5,0.980,0.9,-0.070,8.9%
Hoplocephalus_bitorquatus,Reptilia,Serpentes,61.7,1.790,5.6,0.750,9.1%
Eirenis_collaris,Reptilia,Serpentes,5.9,0.770,0.5,-0.270,9.1%
Leptodeira_septentrionalis,Reptilia,Serpentes,44.7,1.650,4.1,0.610,9.1%
Salvadora_grahamiae,Reptilia,Serpentes,38.0,1.580,3.5,0.550,9.3%
Erythrolamprus_mossoroensis,Reptilia,Serpentes,43.7,1.640,4.1,0.610,9.3%
Agkistrodon_piscivorus,Reptilia,Serpentes,109.6,2.040,10.5,1.020,9.5%
Hypsiglena_torquata,Reptilia,Serpentes,20.4,1.310,1.9,0.290,9.5%
Cryptophis_nigrescens,Reptilia,Serpentes,28.2,1.450,2.9,0.460,10.2%
Atractus_latifrons,Reptilia,Serpentes,36.3,1.560,3.8,0.580,10.5%
Bitis_schneideri,Reptilia,Serpentes,10.5,1.020,1.1,0.040,10.5%
Parasuta_nigriceps,Reptilia,Serpentes,18.2,1.260,1.9,0.290,10.7%
Simoselaps_bertholdi,Reptilia,Serpentes,4.5,0.650,0.5,-0.320,10.7%
Cacophis_krefftii,Reptilia,Serpentes,9.1,0.960,1.0,0.000,11.0%
Coniophanes_fissidens,Reptilia,Serpentes,12.3,1.090,1.3,0.130,11.0%
Acanthophis_wellsi,Reptilia,Serpentes,24.5,1.390,2.7,0.430,11.0%
Parasuta_flagellum,Reptilia,Serpentes,11.7,1.070,1.3,0.120,11.2%
Brachyurophis_semifasciatus,Reptilia,Serpentes,9.1,0.960,1.0,0.020,11.5%
Brachyurophis_fasciolatus,Reptilia,Serpentes,11.5,1.060,1.3,0.130,11.7%
Cacophis_harriettae,Reptilia,Serpentes,20.4,1.310,2.5,0.390,12.0%
Dipsas_catesbyi,Reptilia,Serpentes,42.7,1.630,5.2,0.720,12.3%
Imantodes_cenchoa,Reptilia,Serpentes,72.4,1.860,9.1,0.960,12.6%
Furina_diadema,Reptilia,Serpentes,9.8,0.990,1.2,0.090,12.6%
Leptodeira_nigrofasciata,Reptilia,Serpentes,10.7,1.030,1.3,0.130,12.6%
Sibon_nebulatus,Reptilia,Serpentes,30.9,1.490,4.0,0.600,12.9%
Dendrophidion_nuchale,Reptilia,Serpentes,102.3,2.010,13.5,1.130,13.2%
Parasuta_monachus,Reptilia,Serpentes,13.5,1.130,1.8,0.250,13.2%
Parasuta_dwyeri,Reptilia,Serpentes,13.5,1.130,1.9,0.270,13.8%
Phyllorhynchus_decurtatus,Reptilia,Serpentes,9.5,0.980,1.3,0.120,13.8%
Carphophis_amoenus,Reptilia,Serpentes,4.9,0.690,0.7,-0.150,14.5%
Simoselaps_bimaculatus,Reptilia,Serpentes,16.2,1.210,2.3,0.370,14.5%
Ninia_sebae,Reptilia,Serpentes,4.1,0.610,0.6,-0.200,15.5%
Opheodrys_aestivus,Reptilia,Serpentes,12.9,1.110,2.0,0.310,15.8%
Leptotyphlops_conjunctus,Reptilia,Serpentes,1.0,-0.020,0.2,-0.820,15.8%
Adelphicos_quadrivirgatum,Reptilia,Serpentes,4.2,0.620,0.7,-0.160,16.6%
Neelaps_calonotus,Reptilia,Serpentes,5.5,0.740,0.9,-0.040,16.6%
Diadophis_punctatus,Reptilia,Serpentes,6.9,0.840,1.2,0.070,17.0%
Brachyurophis_roperi,Reptilia,Serpentes,10.2,1.010,1.7,0.240,17.0%
Chilomeniscus_stramineus,Reptilia,Serpentes,2.2,0.340,0.4,-0.420,17.4%
Tantilla_gracilis,Reptilia,Serpentes,1.5,0.170,0.3,-0.580,17.8%
Oxybelis_aeneus,Reptilia,Serpentes,47.9,1.680,9.5,0.980,20.0%
Simoselaps_anomalus,Reptilia,Serpentes,3.1,0.490,0.6,-0.200,20.4%
Sibon_annulatus,Reptilia,Serpentes,7.8,0.890,1.6,0.210,20.9%
Parasuta_spectabilis,Reptilia,Serpentes,11.2,1.050,2.3,0.370,20.9%
Erythrolamprus_reginae,Reptilia,Serpentes,36.3,1.560,7.8,0.890,21.4%
Micruroides_euryxanthus,Reptilia,Serpentes,21.4,1.330,4.9,0.690,22.9%
Coniophanes_imperialis,Reptilia,Serpentes,5.8,0.760,1.4,0.140,24.0%
Sibon_sanniolus,Reptilia,Serpentes,3.5,0.540,1.0,-0.020,27.5%
Rhadinaea_flavilata,Reptilia,Serpentes,5.6,0.750,1.5,0.190,27.5%
